strategy,feature_set,model,n_folds,daily_auc_mean,daily_auc_std,global_auc_mean,global_auc_std,top_k_ret_mean,top_k_ret_std,train_size_mean,test_size_mean
ML_Base,Base,LR,7,0.5183725153714432,0.0344768774705688,0.5380959164140816,0.03814778531168201,0.0028456797255667146,0.004422706156617747,62576.42857142857,7043.285714285715
ML_Base,Base,RF,7,0.513363503461237,0.03125943086237071,0.5189231178610265,0.036815357063639316,0.002422761834002457,0.0035966398560405145,62576.42857142857,7043.285714285715
ML_Base,Base,XGB,7,0.5055911094417889,0.026193103394070213,0.5136481790533105,0.03340225198711147,0.0023256137489596545,0.0034829115065682465,62576.42857142857,7043.285714285715
ML_Full,Full,LR,7,0.5203109369457449,0.03664796593721765,0.534313367228859,0.04135870627878357,0.0029873461850986145,0.0044858663026787335,62576.42857142857,7043.285714285715
ML_Full,Full,RF,7,0.5149065661877211,0.030234983240323723,0.5194303206728185,0.029702723277966667,0.003149396395712271,0.004070094882626674,62576.42857142857,7043.285714285715
ML_Full,Full,XGB,7,0.5123264409232271,0.029687199821626306,0.5190254034314695,0.02442967975242613,0.0025067931850249713,0.003627882412182785,62576.42857142857,7043.285714285715
